s,w,l,height,delta_amp,generation
1.9949369168292735e-07,5.314760140949879e-07,1.7575223189192756e-07,2.0775404610657284e-07,14.300618334223216,1
1.2478021637535196e-07,7e-07,1.8560243189144087e-07,3e-07,0.7118143638591756,1
2.279611864259298e-07,4.3818940595600013e-07,2.082410167852035e-07,1.932034764488527e-07,8.268606938325355,1
1e-07,5.254392767411186e-07,1e-07,1.5e-07,3.2228340214471927,1
2.2090138325985143e-07,6.907667176128873e-07,1e-07,1.9670940928090174e-07,10.225769032652003,1
2.1815853161811095e-07,4.2029487612532167e-07,1.1164431181182153e-07,2.7068331983666967e-07,2.187956891075397,1
2.1359118615851653e-07,3e-07,1.0749378661477888e-07,3e-07,0.558237163505169,1
1.8493793736592765e-07,6.268341790219282e-07,1.41919973125881e-07,2.642459952709179e-07,18.497620278470947,1
2.06445240130781e-07,6.656396991919685e-07,1.1632737202459051e-07,2.2037759145083957e-07,20.559911825826727,1
2.3308503556754314e-07,4.911065718094984e-07,1.602308452434027e-07,2.758361372069518e-07,10.381551662677806,1
1.9614138431585284e-07,3.031386054887189e-07,1e-07,1.9224693690182073e-07,0.010015960887858277,1
1e-07,5.868094949184488e-07,1e-07,2.610170125061455e-07,19.43920114832763,1
1.7960027934899039e-07,3.5802262152189814e-07,1.999583747178647e-07,1.780904901925934e-07,1.9715819751821937,1
1.0684869767613416e-07,5.092029282652723e-07,1.9249256167293175e-07,2.6215334244202896e-07,10.316964767024114,1
1.6868231129044772e-07,3.9291898168107273e-07,1.9970151640237396e-07,1.9216908057074118e-07,3.4674507494457014,1
1.2943085382450302e-07,3.1896640770605283e-07,1.4383343610074878e-07,1.7891661506927239e-07,0.4723483173942309,1
1.6503332378552287e-07,6.986287356075582e-07,1.2660104689912975e-07,2.803229566459195e-07,25.3982478812604,1
1.438485447007923e-07,4.290024129397926e-07,1e-07,1.8132916977268325e-07,0.8904793585788822,1
1e-07,3.4992325039811987e-07,1.9938104580902248e-07,2.673255216132954e-07,5.803279480665313,1
1.3399859342840082e-07,5.336507227369038e-07,2.0032564310052457e-07,2.3343325527516934e-07,9.991745539083645,1
1.398656313226401e-07,6.282778027175899e-07,2.0289330214514407e-07,2.3178366045755604e-07,1.8543301647708939,1
2.46641333034861e-07,4.4928999102710864e-07,2.154191100994061e-07,1.7889222123449863e-07,6.124536388092935,1
2.142076197446575e-07,3.7284887096965524e-07,1.481857607516089e-07,1.7738202559597493e-07,0.8836359323356331,1
2.1357314920148403e-07,4.45514483675114e-07,2.2636772725607439e-07,2.266198002053125e-07,6.6206203962354735,1
2.305894439863169e-07,3.0175857887264e-07,1.97749357410085e-07,2.813923496464034e-07,1.824745609508543,1
1.1646835123791592e-07,3.1520677960128295e-07,2.1216549366166165e-07,2.0122818065847674e-07,1.6747411697353052,1
1.0718283544670917e-07,4.31119885413387e-07,1.6904351251542417e-07,2.0819204473026127e-07,8.757559696928936,1
1.9000664426717271e-07,5.378382412374266e-07,2.08423079076654e-07,2.9497132692885563e-07,0.0773201924013529,1
1.5043701811002076e-07,4.137849386655153e-07,1.3096459016737273e-07,1.9388669802679987e-07,2.455608019540445,1
1.0639304888476683e-07,4.582241031559796e-07,1.7370267533103656e-07,1.6034305044780881e-07,6.028485281667802,1
1.9949369168292735e-07,6.61260404348799e-07,1.1632737202459051e-07,2.2037759145083957e-07,19.617461949498498,2
1.0684869767613416e-07,5.092029282652723e-07,1.2660104689912975e-07,2.803229566459195e-07,16.219733601225975,2
2.06445240130781e-07,6.656396991919685e-07,1.7575223189192756e-07,2.0775404610657284e-07,13.12300036316417,2
1.6503332378552287e-07,6.986287356075582e-07,1.2660104689912975e-07,2.803229566459195e-07,25.3982478812604,2
1.9426033237448254e-07,6.268341790219282e-07,1.6904351251542417e-07,2.0819204473026127e-07,11.423026227369952,2
1.0684869767613416e-07,5.092029282652723e-07,1.7370267533103656e-07,2.07681140423884e-07,16.219733601225975,2
2.06445240130781e-07,6.656396991919685e-07,1.1632737202459051e-07,2.610170125061455e-07,13.12300036316417,2
1.9949369168292735e-07,5.314760140949879e-07,1.9249256167293175e-07,2.6215334244202896e-07,3.3512091838944826,2
2.06445240130781e-07,6.656396991919685e-07,1.1632737202459051e-07,1.932034764488527e-07,13.12300036316417,2
1e-07,5.868094949184488e-07,1.9938104580902248e-07,2.673255216132954e-07,14.46981984515282,2
1.8493793736592765e-07,6.268341790219282e-07,1.41919973125881e-07,1.932034764488527e-07,4.106853096102448,2
1e-07,6.656396991919685e-07,1.1632737202459051e-07,2.2037759145083957e-07,26.445329928135102,2
1e-07,5.868094949184488e-07,1e-07,2.266198002053125e-07,14.46981984515282,2
1.6689061824574623e-07,6.986287356075582e-07,1.1632737202459051e-07,2.2037759145083957e-07,25.3429257525136,2
2.2090138325985143e-07,6.986287356075582e-07,1.2660104689912975e-07,2.741209156618914e-07,12.441235241452294,2
1.0639304888476683e-07,4.911065718094984e-07,1.602308452434027e-07,2.758361372069518e-07,19.41179109430147,2
1.3748213491431994e-07,6.986287356075582e-07,1.2660104689912975e-07,2.803229566459195e-07,27.248652739113542,2
1e-07,5.254392767411186e-07,1.1222574837677454e-07,2.2037759145083957e-07,13.017556449057778,2
1.6503332378552287e-07,6.986287356075582e-07,1.2660104689912975e-07,2.803229566459195e-07,25.3982478812604,2
1.0684869767613416e-07,5.269657873676022e-07,1.1632737202459051e-07,2.2037759145083957e-07,13.265502153844633,2
2.1821299490037517e-07,5.092029282652723e-07,1.2660104689912975e-07,2.803229566459195e-07,14.116742120610681,2
1.8493793736592765e-07,6.268341790219282e-07,2.154191100994061e-07,1.7889222123449863e-07,4.106853096102448,2
1.6503332378552287e-07,5.314760140949879e-07,1.7575223189192756e-07,2.0775404610657284e-07,15.950078365055717,2
1.8493793736592765e-07,5.336507227369038e-07,2.0032564310052457e-07,2.3343325527516934e-07,5.548980862029236,2
2.3308503556754314e-07,5.092029282652723e-07,1.9249256167293175e-07,2.6215334244202896e-07,3.6220187626916998,2
2.2090138325985143e-07,6.837222153611598e-07,1e-07,2.803229566459195e-07,20.434710231693415,2
1.9949369168292735e-07,4.582241031559796e-07,1.7370267533103656e-07,1.6034305044780881e-07,4.467801562313557,2
1.8493793736592765e-07,5.314760140949879e-07,1.7575223189192756e-07,2.0775404610657284e-07,14.59291634030676,2
1.6503332378552287e-07,6.986287356075582e-07,1.2660104689912975e-07,2.803229566459195e-07,25.3982478812604,2
2.2090138325985143e-07,6.907667176128873e-07,1e-07,2.758361372069518e-07,22.06182774343773,2
1e-07,6.656396991919685e-07,1.1632737202459051e-07,2.2037759145083957e-07,26.445329928135102,3
1.0684869767613416e-07,6.907667176128873e-07,1e-07,2.758361372069518e-07,31.38614642456992,3
