s,w,l,height,delta_amp,generation
1.0736270052732558e-07,3.832198612926671e-07,1.0427591482768602e-07,2.834981476022434e-07,3.507249498257809,1
2.0429379425680155e-07,5.246473016709216e-07,1.7645685170450043e-07,1.6023899193583536e-07,10.118961579686239,1
2.0122694893010422e-07,3.30853030222912e-07,1.2702723012062324e-07,3e-07,1.295342049871408,1
1.7995103367700938e-07,4.346605973829136e-07,1.6790146731651492e-07,2.8309897866279226e-07,12.953356028991852,1
2.2004151073089716e-07,5.922765544472183e-07,2.3446256633136846e-07,1.7722784368608982e-07,0.236082361437155,1
1.5823243989028744e-07,3e-07,2.0582180011517784e-07,2.6285203349628213e-07,1.3325212024304303,1
2.2117458655166e-07,4.640724822246905e-07,2.436274671585065e-07,2.3654122304914394e-07,1.6685769260952452,1
2.1288354452686418e-07,4.2341465452239613e-07,1.5313697144285265e-07,2.703927209232089e-07,7.308410756933981,1
1.5856082034540304e-07,3.2859660572991443e-07,1.2600594107536062e-07,2.1362500642431187e-07,0.5427120530767406,1
1e-07,6.298872234954465e-07,2.18018332432545e-07,1.5e-07,17.61024023428793,1
1.0910076905191552e-07,3.156464291745238e-07,2.408873060993121e-07,2.973709914338572e-07,5.436301367998002,1
1.1596918976576384e-07,5.095690361067629e-07,2.403640348114286e-07,2.94562012737037e-07,0.5723908643378985,1
1.023405848043729e-07,6.018723788792436e-07,1.2918359208995297e-07,2.403614435677834e-07,16.494099170606816,1
2.002211563355267e-07,3.888457407505019e-07,2.17983085368953e-07,1.5e-07,1.519468953690873,1
1.5149271702742158e-07,3.128602906060806e-07,1.0304230583372182e-07,2.214070124850506e-07,0.09020762138966454,1
1.8602427891540627e-07,5.966086013355772e-07,2.021955162556983e-07,1.5e-07,12.53722110065652,1
1.5183588892314108e-07,4.2429290707729653e-07,1.42171606694521e-07,2.1003178635539285e-07,3.459026498956295,1
2.1437031419192415e-07,3.539116979277708e-07,1.617515312032315e-07,2.4404411828318605e-07,2.421013787187095,1
1.0776743296960115e-07,3e-07,1.43818484520657e-07,1.7752155070903003e-07,0.1943319546731328,1
1.4349473182069393e-07,4.4772184949876066e-07,1.6967070651076863e-07,2.359057718353381e-07,12.526496088140336,1
1e-07,4.756195239752398e-07,1.0296664349605978e-07,2.9621512326676014e-07,12.631538429051268,1
2.045159670739217e-07,3.6591442062352236e-07,1.4661327050064143e-07,1.5e-07,0.2792040645325755,1
2.391983861795917e-07,4.913092921949574e-07,1.8957296141379298e-07,1.9775483460745452e-07,8.50620386364981,1
1.5602003496764584e-07,5.188621788485138e-07,2.0443072775253163e-07,2.3837401499518127e-07,6.663364379349164,1
2.2811033866016539e-07,6.174060178122594e-07,1.294998338939571e-07,2.3056264697348865e-07,19.29006212194656,1
2.0380095797774637e-07,4.6299128980362157e-07,1.838045711768957e-07,2.9628133698789144e-07,9.534746546221218,1
1.5814468223175425e-07,6.43154795823066e-07,2.033237238177748e-07,3e-07,1.9072545793841975,1
1.4277392833943094e-07,5.05674899750183e-07,2.0116861430289575e-07,1.6785409969506516e-07,12.586835630773116,1
1.3819114023680114e-07,4.1046111805189995e-07,1e-07,1.5e-07,0.4617810111087888,1
1.3085455112320748e-07,5.268821236050438e-07,1.8082293795282303e-07,1.8555476944016168e-07,17.189924629173145,1
1.0605701428877064e-07,5.05674899750183e-07,1.838045711768957e-07,2.9628133698789144e-07,6.657228514034305,2
1.3085455112320748e-07,5.05674899750183e-07,2.0116861430289575e-07,1.6785409969506516e-07,13.400087833325447,2
2.2811033866016539e-07,6.174060178122594e-07,1.294998338939571e-07,2.3056264697348865e-07,19.29006212194656,2
2.2811033866016539e-07,4.4772184949876066e-07,1.6967070651076863e-07,2.359057718353381e-07,11.630353688391354,2
2.2811033866016539e-07,6.174060178122594e-07,1.2918359208995297e-07,2.403614435677834e-07,19.29006212194656,2
1e-07,6.298872234954465e-07,2.18018332432545e-07,1.8555476944016168e-07,26.65198696445956,2
1.5814468223175425e-07,6.43154795823066e-07,2.033237238177748e-07,2.8431507094126537e-07,0.04142113872051967,2
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.403614435677834e-07,26.65198696445956,2
1.3085455112320748e-07,5.268821236050438e-07,1.8082293795282303e-07,1.8555476944016168e-07,8.500733001134694,2
1.7995103367700938e-07,4.346605973829136e-07,1.6790146731651492e-07,1.5e-07,1.8079979076961727,2
2.2811033866016539e-07,6.174060178122594e-07,2.18018332432545e-07,1.5e-07,19.29006212194656,2
2.2811033866016539e-07,6.174060178122594e-07,1.294998338939571e-07,2.3056264697348865e-07,19.29006212194656,2
2.2811033866016539e-07,6.174060178122594e-07,1.294998338939571e-07,2.3056264697348865e-07,19.29006212194656,2
1.3085455112320748e-07,6.174060178122594e-07,1.294998338939571e-07,2.3247779549720069e-07,25.014801353206046,2
1e-07,4.756195239752398e-07,1.294998338939571e-07,2.3056264697348865e-07,14.627427179398047,2
1.4277392833943094e-07,6.829161171607649e-07,1.2918359208995297e-07,2.403614435677834e-07,24.844247247849488,2
1.4277392833943094e-07,5.05674899750183e-07,2.0116861430289575e-07,2.3056264697348865e-07,12.820975647535711,2
2.2811033866016539e-07,6.174060178122594e-07,1.294998338939571e-07,2.3056264697348865e-07,19.29006212194656,2
1.023405848043729e-07,4.6299128980362157e-07,1.838045711768957e-07,2.9628133698789144e-07,9.980897108203733,2
1.3085455112320748e-07,5.268821236050438e-07,1.8082293795282303e-07,1.5e-07,8.500733001134694,2
2.012348466123739e-07,6.018723788792436e-07,1.2918359208995297e-07,2.403614435677834e-07,22.695642326474967,2
1.4349473182069393e-07,4.4772184949876066e-07,1.6790146731651492e-07,2.8309897866279226e-07,5.330908270017148,2
2.2811033866016539e-07,6.174060178122594e-07,1.294998338939571e-07,2.9628133698789144e-07,19.29006212194656,2
1.4277392833943094e-07,4.756195239752398e-07,1.0296664349605978e-07,2.9621512326676014e-07,8.817294474040175,2
1e-07,6.298872234954465e-07,1.2918359208995297e-07,2.411623670146449e-07,26.65198696445956,2
1.4349473182069393e-07,4.4772184949876066e-07,1.6967070651076863e-07,1.6785409969506516e-07,5.330908270017148,2
2.2811033866016539e-07,6.174060178122594e-07,1.294998338939571e-07,2.3056264697348865e-07,19.29006212194656,2
1.4277392833943094e-07,5.05674899750183e-07,1.8082293795282303e-07,1.8555476944016168e-07,12.820975647535711,2
1.8602427891540627e-07,5.966086013355772e-07,1.294998338939571e-07,2.3056264697348865e-07,19.41397705179828,2
1.3085455112320748e-07,5.212906022512539e-07,1.294998338939571e-07,2.3056264697348865e-07,15.002666744006033,2
1.3085455112320748e-07,5.496879470701966e-07,1.2918359208995297e-07,2.411623670146449e-07,18.504409126448557,3
1e-07,6.298872234954465e-07,2.18018332432545e-07,1.8555476944016168e-07,27.025643164517227,3
2.2811033866016539e-07,4.4772184949876066e-07,1.2918359208995297e-07,2.403614435677834e-07,5.4564837373850406,3
1e-07,6.298872234954465e-07,1.2918359208995297e-07,2.3056264697348865e-07,27.025643164517227,3
1.3085455112320748e-07,6.829161171607649e-07,1.2918359208995297e-07,2.403614435677834e-07,29.030564507624426,3
2.2811033866016539e-07,6.174060178122594e-07,1.2918359208995297e-07,2.3056264697348865e-07,14.992829317700028,3
1.0502284750962771e-07,6.298872234954465e-07,2.18018332432545e-07,2.403614435677834e-07,1.9190733218806155,3
2.2811033866016539e-07,6.174060178122594e-07,2.18018332432545e-07,2.403614435677834e-07,14.992829317700028,3
1.8602427891540627e-07,5.966086013355772e-07,1.294998338939571e-07,2.3056264697348865e-07,19.68561654669052,3
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.3056264697348865e-07,27.025643164517227,3
2.2811033866016539e-07,6.298872234954465e-07,2.18018332432545e-07,2.403614435677834e-07,0.0,3
2.2811033866016539e-07,6.298872234954465e-07,2.18018332432545e-07,2.403614435677834e-07,0.0,3
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.403614435677834e-07,27.025643164517227,3
1.8602427891540627e-07,6.174060178122594e-07,1.294998338939571e-07,2.9628133698789144e-07,20.15757334451754,3
2.2811033866016539e-07,6.298872234954465e-07,1.2918359208995297e-07,2.411623670146449e-07,0.0,3
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.403614435677834e-07,27.025643164517227,3
1e-07,6.298872234954465e-07,2.18018332432545e-07,1.8555476944016168e-07,27.025643164517227,3
1e-07,6.298872234954465e-07,1.2918359208995297e-07,2.411623670146449e-07,27.025643164517227,3
2.2811033866016539e-07,6.174060178122594e-07,1.2918359208995297e-07,2.403614435677834e-07,14.992829317700028,3
2.2811033866016539e-07,6.298872234954465e-07,2.18018332432545e-07,2.403614435677834e-07,0.0,3
1.8602427891540627e-07,5.966086013355772e-07,2.18018332432545e-07,1.803799885294626e-07,19.68561654669052,3
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.403614435677834e-07,27.025643164517227,3
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.411623670146449e-07,27.025643164517227,3
2.2811033866016539e-07,6.174060178122594e-07,1.294998338939571e-07,2.411623670146449e-07,14.992829317700028,3
1e-07,6.174060178122594e-07,1.2918359208995297e-07,2.403614435677834e-07,26.43962561403437,3
2.2811033866016539e-07,6.174060178122594e-07,1.3659301273527315e-07,1.8555476944016168e-07,14.992829317700028,3
1.8602427891540627e-07,5.966086013355772e-07,1.294998338939571e-07,2.403614435677834e-07,19.68561654669052,3
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.411623670146449e-07,27.025643164517227,3
1e-07,6.298872234954465e-07,1.2918359208995297e-07,2.403614435677834e-07,27.025643164517227,3
1.4277392833943094e-07,6.829161171607649e-07,1.2918359208995297e-07,2.3247779549720069e-07,28.82441857533749,3
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.403614435677834e-07,0.774184945444115,4
1e-07,6.298872234954465e-07,1.2918359208995297e-07,2.403614435677834e-07,0.774184945444115,4
1.8602427891540627e-07,6.829161171607649e-07,1.2918359208995297e-07,2.3247779549720069e-07,24.232144761431634,4
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.403614435677834e-07,0.774184945444115,4
1.3085455112320748e-07,6.829161171607649e-07,1.2918359208995297e-07,2.403614435677834e-07,0.5542438356839052,4
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.411623670146449e-07,0.774184945444115,4
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.403614435677834e-07,0.774184945444115,4
1e-07,6.298872234954465e-07,1.2918359208995297e-07,2.3056264697348865e-07,0.774184945444115,4
1.4277392833943094e-07,6.829161171607649e-07,1.2918359208995297e-07,2.3704705419078067e-07,24.844247247849488,4
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.9839346038194745e-07,0.774184945444115,4
1e-07,6.298872234954465e-07,2.18018332432545e-07,2.411623670146449e-07,0.774184945444115,4
