s,w,l,height,total_length,fitness_score,generation,fitness_strategy
1.570345413405762e-07,4.5030477970195275e-07,1.5786200086023296e-07,1.9404342003683318e-07,3.371058049978218e-05,0.22134482208231898,1,highpass
1.7123765491661745e-07,3.1618259751564106e-07,2.3048639020304942e-07,2.3183373403992468e-07,4.617568122665096e-05,0.2546349273956873,1,highpass
1.521269705058469e-07,4.6679181545097874e-07,1.796294973237928e-07,1.9996222850920395e-07,3.5564252132534476e-05,0.21170438852337625,1,highpass
1e-07,3.016800325726649e-07,2.2358472642471062e-07,1.6757892263049589e-07,4.213488486954636e-05,0.2708476240795238,1,highpass
1e-07,5.664004674829338e-07,1e-07,3e-07,3.247974373390276e-05,0.1157270641163538,1,highpass
1.3559762408982872e-07,5.602418897538445e-07,2.2561833468098518e-07,1.8197425801552558e-07,3.498473154075095e-05,0.1092723102481512,1,highpass
1.5913898680500652e-07,3e-07,2.1537157899487475e-07,2.4164498243260964e-07,3.5617949410987004e-05,0.26049909636995744,1,highpass
1e-07,3.5532411938834284e-07,1.2117995016738007e-07,1.5e-07,4.575714712011103e-05,0.28667869745640456,1,highpass
2.0484680774440286e-07,4.647525509610078e-07,1.612351366914062e-07,2.8963592156689757e-07,4.22519985554597e-05,0.23747910702114897,1,highpass
2.291221247653851e-07,6.812740359719562e-07,1.0836313000769119e-07,1.803366146687774e-07,1.9973779094202143e-05,0.20924013587960308,1,highpass
2.1138478549212598e-07,4.904082527145816e-07,1.3455229096882987e-07,2.0790844757430757e-07,4.3939663029975914e-05,0.23580724782539683,1,highpass
1.9752194357863205e-07,4.126025687401878e-07,2.4076407743316684e-07,1.6422999818647187e-07,1.1877564589833559e-05,0.23567467604466463,1,highpass
1.2278006766228307e-07,5.373647228975935e-07,2.2067476526251116e-07,2.8743970367288575e-07,4.200039639681135e-05,0.0970134959694424,1,highpass
1.378599072936574e-07,4.432387662945091e-07,1.4263997540816832e-07,1.5e-07,3.7976758541370114e-05,0.2609917327787314,1,highpass
2.1382226992115372e-07,6.57678062531505e-07,1.3391134183612216e-07,1.5427751977789116e-07,3.4309211816893364e-05,0.22784404825423837,1,highpass
1.9497282124104093e-07,6.892738732840903e-07,1.246471818915283e-07,2.0293579982760315e-07,2.498905753804662e-05,0.17782984411535294,1,highpass
1.8981540416156613e-07,6.044319345395057e-07,1.5076772249573108e-07,2.4743210567019e-07,7.685139958165317e-06,0.11912597077299046,1,highpass
1.9738411508317256e-07,7e-07,1.9159673629767235e-07,2.4830358541865196e-07,3.247653766038047e-05,0.26348200844948017,1,highpass
1.1661878774033386e-07,5.577671194066946e-07,1.4555599379426842e-07,3e-07,4.31297945817725e-05,0.10660068045354679,1,highpass
1.4776320372359382e-07,4.876004249357337e-07,2.2109314534738958e-07,1.8398090451168406e-07,2.4361198361816667e-05,0.1458961645264403,1,highpass
1.0274304134173089e-07,5.333933573644889e-07,2.1561163805995778e-07,3e-07,4.414795758857015e-05,0.07200058932578714,1,highpass
1.2703423170388432e-07,6.857964095437747e-07,2.412013622360324e-07,2.998841511206165e-07,3.31399484632973e-05,0.4999393772844418,1,highpass
2.416443149036133e-07,4.1023621038989145e-07,1.6946722278582193e-07,2.1400015158755346e-07,2.513444923628448e-05,0.24146962224868307,1,highpass
1.6797863708728085e-07,4.2546078594874396e-07,1e-07,2.7891629445315565e-07,3.247577102069903e-05,0.2601519412361329,1,highpass
1.080100816674636e-07,4.405701623434756e-07,2.1594527745161424e-07,2.8068162817505193e-07,1.4354005525714037e-05,0.19037392477628526,1,highpass
