s,w,l,height,total_length,fitness_score,generation,fitness_strategy
1.0058729896274179e-07,4.7354187700414117e-07,1.6893583688582747e-07,1.7933311577231038e-07,4.464046838276165e-05,643325776424.3849,1,highpass
1.0469525962869088e-07,4.419702410005489e-07,1e-07,2.7942176025253205e-07,3.96584443206326e-05,-16544257872.276571,1,highpass
1.220895963475897e-07,6.796239261140174e-07,1.8032656137021184e-07,2.875569461808608e-07,4.267482379046118e-05,-1170894193388.4082,1,highpass
1.8508543828763515e-07,3.123621486753248e-07,1.700153410496262e-07,2.9986199070561757e-07,2.146488803729891e-05,227526410190.96848,1,highpass
1e-07,3.816541235407148e-07,2.0576473589254404e-07,1.9415601168942372e-07,3.258852699089114e-05,489329592617.59265,1,highpass
2.1658511232360114e-07,4.3811518651331077e-07,1.8782938311725826e-07,2.2620607002987353e-07,4.168526807569541e-05,-51261557067.81383,1,highpass
1.6989859125195167e-07,5.274453507724923e-07,1.078370992260866e-07,2.852528255700169e-07,1.1453447762711468e-05,547437620770.3931,1,highpass
1.0446980246142331e-07,3.608644480392952e-07,1.58819572263224e-07,1.6887564942333966e-07,1.1625880775756072e-05,132143683949.85574,1,highpass
2.2393158360615265e-07,3e-07,1.6422135633835532e-07,2.3403477077633225e-07,3.537914919708373e-05,130377306364.28555,1,highpass
1.4101903116819108e-07,4.6953750601795446e-07,1.0931094676121625e-07,2.122627491060142e-07,3.9212011289134866e-05,232202816329.0567,1,highpass
1.669642642867982e-07,3.1610803784781313e-07,1.9758584991599378e-07,2.5352205890007273e-07,3.408556714429478e-05,223201310446.83298,1,highpass
2.0724047041763802e-07,4.410148602159568e-07,1.1297378327193791e-07,2.356491549344023e-07,3.633289259793315e-05,185823175383.52243,1,highpass
1.5378159410479407e-07,5.401846994333212e-07,1.981374273602369e-07,2.2795905336136198e-07,4.0649333230151667e-05,-3534186614192.733,1,highpass
2.1641343591653257e-07,4.179703677073564e-07,2.12199266240192e-07,2.418610016151208e-07,1.9339927879675362e-05,-2038134324036.6233,1,highpass
2.1828327862075855e-07,3.115350517681542e-07,1.7428102056605395e-07,3e-07,3.7150194206883914e-05,216042385828.07062,1,highpass
1.1501619329872261e-07,5.404906308267199e-07,1.7331098965997747e-07,2.114058966401155e-07,2.9337150520559796e-05,1778919141368.948,1,highpass
1.1301264199747703e-07,3.7755345010137683e-07,1.6343047872925854e-07,2.367362387015067e-07,6.058456443538812e-06,680386695730.6968,1,highpass
1.0490589485409928e-07,4.5271264209512035e-07,2.394774189161208e-07,2.729631148991456e-07,2.7434542361354587e-05,-948960242087.9436,1,highpass
2.2302646737321786e-07,5.964113722605497e-07,2.1651699730072626e-07,1.5809196234889552e-07,3.226542582387199e-05,-142343562.60984552,1,highpass
1.6101752017986866e-07,5.317644492921273e-07,1.2359359668931576e-07,1.9714485263777415e-07,1.1666355717081621e-05,537338970040.4347,1,highpass
1.9946853216625687e-07,6.575314080374091e-07,2.2188902958151912e-07,2.0860765574520072e-07,1.6246607393669466e-05,16302170.035397733,1,highpass
1.6207413693102488e-07,5.281972179066222e-07,1e-07,3e-07,4.474094989550545e-05,455549567647.05743,1,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,2819459295361.5293,1,highpass
1.2499030244112046e-07,4.1961869575558655e-07,1.8604095945300855e-07,2.067905835045543e-07,4.71134846031057e-05,435712548467.80585,1,highpass
1.2484921160618308e-07,7e-07,1.4924436574079822e-07,2.1626822601424676e-07,3.550316057190752e-05,-1856759901513.8625,1,highpass
1.7327782213232784e-07,5.992040160252117e-07,1.6022356915195865e-07,2.559441381560211e-07,3.441153054663022e-05,-520653214129.6795,1,highpass
2.2342519634836133e-07,5.274016990545954e-07,2.4274723877614027e-07,1.7729870372276897e-07,1.644234760884871e-05,14764767.85316499,1,highpass
1.9566712130895208e-07,4.496010163655495e-07,2.0880885894743517e-07,2.4693813179627297e-07,2.816069240626992e-05,-2317657045809.4204,1,highpass
1.3869168443006798e-07,6.185588164043646e-07,1.517449227869118e-07,1.8772062160821804e-07,4.51358339927205e-05,-32368581154.959126,1,highpass
1.4317998307509819e-07,5.647917987484997e-07,1e-07,1.5e-07,4.4900963647618835e-05,149822065988.14124,1,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,2819459295361.5293,2,highpass
1.6101752017986866e-07,5.317644492921273e-07,2.0576473589254404e-07,1.9415601168942372e-07,3.258852699089114e-05,-443291130772.53827,2,highpass
1e-07,3.816541235407148e-07,2.0576473589254404e-07,1.9415601168942372e-07,2.146488803729891e-05,-468940194276.50616,2,highpass
1.258969068528231e-07,5.040928593477801e-07,1.4152277552758177e-07,2.122627491060142e-07,3.9212011289134866e-05,620573029593.6256,2,highpass
1.6101752017986866e-07,5.317644492921273e-07,1.2359359668931576e-07,2.114058966401155e-07,2.9337150520559796e-05,267751969592.35162,2,highpass
1.1501619329872261e-07,5.404906308267199e-07,1.7331098965997747e-07,3e-07,4.474094989550545e-05,-261245121480.47214,2,highpass
1.6101752017986866e-07,5.317644492921273e-07,1.2359359668931576e-07,1.9714485263777415e-07,3.258852699089114e-05,296729741914.0094,2,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,6.058456443538812e-06,1418930127656.773,2,highpass
1.6207413693102488e-07,5.281972179066222e-07,1e-07,3e-07,3.258852699089114e-05,703699549797.0411,2,highpass
1.1301264199747703e-07,4.7354187700414117e-07,1.6893583688582747e-07,1.7933311577231038e-07,4.464046838276165e-05,544750264756.3736,2,highpass
1.0058729896274179e-07,3.7755345010137683e-07,1.6343047872925854e-07,2.367362387015067e-07,6.058456443538812e-06,558382009856.4963,2,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4674111526656455e-07,2.067905835045543e-07,4.71134846031057e-05,4413455678.207102,2,highpass
1.1301264199747703e-07,3.7755345010137683e-07,1.6343047872925854e-07,2.367362387015067e-07,1.1254741737859953e-05,580438732068.0266,2,highpass
1.1501619329872261e-07,5.404906308267199e-07,1.7331098965997747e-07,2.114058966401155e-07,3.258852699089114e-05,723629962424.5317,2,highpass
2.1828327862075855e-07,3.115350517681542e-07,1.2359359668931576e-07,1.9714485263777415e-07,1.1666355717081621e-05,44851847131.91429,2,highpass
1.1301264199747703e-07,3.7755345010137683e-07,1.6343047872925854e-07,2.367362387015067e-07,2.9337150520559796e-05,433325280371.8769,2,highpass
1.6101752017986866e-07,5.317644492921273e-07,1.6893583688582747e-07,1.7933311577231038e-07,4.464046838276165e-05,90790058046.73216,2,highpass
1.1501619329872261e-07,5.404906308267199e-07,1.0931094676121625e-07,2.122627491060142e-07,3.9212011289134866e-05,846633654212.9064,2,highpass
1e-07,3.816541235407148e-07,2.0576473589254404e-07,1.9415601168942372e-07,2.796086372179379e-05,339541603294.5333,2,highpass
1.1501619329872261e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,-307700502506.2908,2,highpass
1.1501619329872261e-07,4.410148602159568e-07,1.1297378327193791e-07,2.356491549344023e-07,3.633289259793315e-05,454965581786.03827,2,highpass
1.0058729896274179e-07,4.7354187700414117e-07,1.6893583688582747e-07,1.7933311577231038e-07,6.058456443538812e-06,38970408222.170746,2,highpass
1.1301264199747703e-07,3.7755345010137683e-07,1.4152277552758177e-07,1.8826113506831118e-07,2.796086372179379e-05,226146857358.29388,2,highpass
1.4101903116819108e-07,4.6953750601795446e-07,1.0931094676121625e-07,2.122627491060142e-07,2.146488803729891e-05,302021078916.49963,2,highpass
1.2499030244112046e-07,4.1961869575558655e-07,1.8604095945300855e-07,2.067905835045543e-07,2.9337150520559796e-05,319153273104.4591,2,highpass
1.0058729896274179e-07,4.7354187700414117e-07,1.6893583688582747e-07,1.7933311577231038e-07,4.464046838276165e-05,643325776424.3849,2,highpass
1.1501619329872261e-07,5.404906308267199e-07,1.7331098965997747e-07,2.114058966401155e-07,2.796086372179379e-05,-1281906146454.6567,2,highpass
1.1501619329872261e-07,5.404906308267199e-07,1.7331098965997747e-07,1.8609843646833256e-07,2.796086372179379e-05,742857956446.8507,2,highpass
1.2499030244112046e-07,4.1961869575558655e-07,1.8604095945300855e-07,2.067905835045543e-07,4.4900963647618835e-05,229175008706.30392,2,highpass
1e-07,3.816541235407148e-07,2.0576473589254404e-07,1.7933311577231038e-07,4.464046838276165e-05,-1184412041682.8372,2,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,2819459295361.5293,3,highpass
1.1501619329872261e-07,5.404906308267199e-07,1.7331098965997747e-07,2.114058966401155e-07,6.058456443538812e-06,1141881251185.3042,3,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,2819459295361.5293,3,highpass
1.258969068528231e-07,6.251987146349687e-07,1e-07,3e-07,3.258852699089114e-05,-1286868697091.2573,3,highpass
1.6101752017986866e-07,5.317644492921273e-07,1.2359359668931576e-07,3e-07,3.258852699089114e-05,1194433932367.5986,3,highpass
1.258969068528231e-07,4.410148602159568e-07,1.1297378327193791e-07,2.356491549344023e-07,2.474107307147388e-05,304616751425.46173,3,highpass
1.0058729896274179e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,2691559493298.7207,3,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.114058966401155e-07,3.258852699089114e-05,975439207497.3948,3,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,2819459295361.5293,3,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,3.9212011289134866e-05,1018917529733.0164,3,highpass
1.817469385822901e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,-708768572882.7361,3,highpass
1.1301264199747703e-07,3.7755345010137683e-07,1.0931094676121625e-07,2.122627491060142e-07,2.146488803729891e-05,173411953447.40182,3,highpass
1.1301264199747703e-07,5.404906308267199e-07,1.0575750167646994e-07,1.8609843646833256e-07,2.796086372179379e-05,303878816565.4815,3,highpass
1.1501619329872261e-07,5.404906308267199e-07,1.7331098965997747e-07,3e-07,3.258852699089114e-05,2433553221029.3076,3,highpass
1.4228929140081968e-07,5.281972179066222e-07,1.0931094676121625e-07,2.122627491060142e-07,3.9212011289134866e-05,-75400069625.3487,3,highpass
1.1501619329872261e-07,4.6953750601795446e-07,1.0931094676121625e-07,1.7376453156019036e-07,2.146488803729891e-05,153182773047.55963,3,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,2819459295361.5293,3,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,1.7933311577231038e-07,4.464046838276165e-05,895201677849.6014,3,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,2819459295361.5293,3,highpass
1.1501619329872261e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,6.058456443538812e-06,-432953349659.52216,3,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,3.258852699089114e-05,518243559577.4334,3,highpass
1.1501619329872261e-07,5.404906308267199e-07,1.7331098965997747e-07,2.114058966401155e-07,3.258852699089114e-05,723629962424.5317,3,highpass
1.1301264199747703e-07,4.7354187700414117e-07,1.0931094676121625e-07,2.122627491060142e-07,3.9212011289134866e-05,404226589421.934,3,highpass
1.258969068528231e-07,5.040928593477801e-07,1.4152277552758177e-07,2.0514435088967343e-07,3.9212011289134866e-05,659250307206.1312,3,highpass
1.258969068528231e-07,3.7755345010137683e-07,1.6343047872925854e-07,2.367362387015067e-07,1.1254741737859953e-05,97052354616.00606,3,highpass
1.1501619329872261e-07,5.404906308267199e-07,1.0931094676121625e-07,2.114058966401155e-07,3.258852699089114e-05,358127088734.23236,3,highpass
1.1501619329872261e-07,5.404906308267199e-07,1.7331098965997747e-07,2.122627491060142e-07,3.9212011289134866e-05,802993784943.8096,3,highpass
1.1501619329872261e-07,3.7755345010137683e-07,1.6343047872925854e-07,2.367362387015067e-07,1.1254741737859953e-05,102490025290.68698,3,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,2819459295361.5293,3,highpass
1.1301264199747703e-07,3.7755345010137683e-07,1.6343047872925854e-07,1.9415601168942372e-07,2.796086372179379e-05,446807335598.6336,3,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,2819459295361.5293,4,highpass
1.4393268075858643e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,2.796086372179379e-05,-505973024255.72375,4,highpass
1.258969068528231e-07,6.251987146349687e-07,1.4152277552758177e-07,2.613317789666158e-07,3.258852699089114e-05,518243559577.4334,4,highpass
