s,w,l,height,delta_amp,generation
1.884613631664946e-07,3.6878083780600766e-07,2.0167213788112973e-07,2.532539348942547e-07,7.464492425674086,1
1.0945804871551526e-07,6.120774452439191e-07,1.9958781141658923e-07,3e-07,0.44282175330972917,1
1.0113151581532486e-07,4.881624361255662e-07,1.581327006523423e-07,1.5e-07,5.562295368147997,1
1.9509046967240823e-07,5.799845946627966e-07,1.2135997197957002e-07,2.272942990358887e-07,14.774424121715255,1
1.8574565898264065e-07,6.621928356286157e-07,1.0886016269284491e-07,1.7572488287983667e-07,10.156204982907042,1
2.0177864333062597e-07,7e-07,1e-07,2.072332392677399e-07,11.773607686499883,1
1.9324039893103288e-07,3.430190938651984e-07,1.571922386829125e-07,2.828600160157655e-07,2.482296750822191,1
1.153447337047876e-07,5.030834225992967e-07,2.176054360443433e-07,2.0453176891875697e-07,14.108839281250525,1
1.7403290210491334e-07,6.060255649444589e-07,1.8127639494666738e-07,1.504839247568118e-07,14.92618238918742,1
2.1587495694649179e-07,3.233293525871208e-07,2.4397812230098994e-07,2.648721370974029e-07,6.343931976950909,1
2.0619181006491107e-07,6.433328552482363e-07,1.0661390463953574e-07,2.7693109023238255e-07,17.612479116243843,1
1.924933310644138e-07,3.729145303338642e-07,2.2904674228974296e-07,2.5671405030731414e-07,9.087619640054788,1
1.8891397974437414e-07,3e-07,1.40092601078158e-07,2.3153765014678776e-07,0.21864735797554347,1
1.8611630706712784e-07,4.988592800837501e-07,1.209620698785778e-07,1.5225565583112882e-07,1.83546862665342,1
2.0190615078506033e-07,4.7425541691273407e-07,1.1249748028135221e-07,3e-07,6.556927645936125,1
2.4932908092915726e-07,4.843360789770276e-07,1.3676527390007016e-07,1.865333919733581e-07,4.747753805995412,1
1.8171548315758269e-07,5.943969339524409e-07,1.9206053352722003e-07,1.5331352579445945e-07,14.223578625321801,1
1.7297682870479522e-07,6.95765080251362e-07,1.0500073812712804e-07,2.0429319423339075e-07,13.54361096974922,1
1.0459544737665109e-07,3e-07,1.1319830987141944e-07,2.2875070010941832e-07,0.34942427859005276,1
1.436816382686169e-07,3.5985242831864834e-07,1.1798165374575082e-07,2.5138327406415807e-07,1.980739321608997,1
1.913666304734372e-07,4.272873847790671e-07,1.7935266939389925e-07,1.9275224974286738e-07,4.524046071218553,1
1.8106061797353318e-07,4.3403979939118316e-07,1.5983358086103216e-07,3e-07,12.733932815125385,1
1.2384218245531224e-07,7e-07,2.0895036548143524e-07,1.5e-07,17.396436113973504,1
1.625341029633747e-07,4.999395278171937e-07,2.077361384623353e-07,1.640779947120989e-07,12.4885481120112,1
1.1551724522085905e-07,5.281354808343037e-07,1.6336099521499767e-07,2.507740259621318e-07,19.686371794291308,1
2.0972657505611204e-07,6.75138921361765e-07,1.363423644018047e-07,2.0764332268289422e-07,18.351091521168726,1
1e-07,6.725875135001285e-07,1.7097513480638282e-07,1.6185611262988104e-07,19.453141645187028,1
2.052588811357314e-07,4.202999750331274e-07,1.134289405217551e-07,1.8452882708876728e-07,0.6330965061396827,1
1.5152355824125585e-07,6.940235106660862e-07,1.461881331690435e-07,3e-07,6.608477696058745,1
2.1714713516416e-07,4.93379887137472e-07,1.900958938212557e-07,1.6961954391558178e-07,10.321714544769026,1
1.7403290210491334e-07,6.060255649444589e-07,1.6336099521499767e-07,2.507740259621318e-07,15.885436136910986,2
1.1551724522085905e-07,5.281354808343037e-07,1.6336099521499767e-07,2.507740259621318e-07,19.163540828680468,2
2.0619181006491107e-07,6.060255649444589e-07,1.8127639494666738e-07,1.504839247568118e-07,12.42987797412783,2
1.9509046967240823e-07,6.725875135001285e-07,1.7097513480638282e-07,1.6185611262988104e-07,14.080665453930289,2
1.8106061797353318e-07,4.3403979939118316e-07,1.5983358086103216e-07,2.0764332268289422e-07,3.1849941738251313,2
2.3046397251527137e-07,5.030834225992967e-07,2.176054360443433e-07,2.507740259621318e-07,0.12793286445920415,2
1.1551724522085905e-07,5.281354808343037e-07,1.6336099521499767e-07,1.6185611262988104e-07,19.163540828680468,2
1.9509046967240823e-07,5.799845946627966e-07,1.2135997197957002e-07,1.6185611262988104e-07,3.175248443924223,2
1.1551724522085905e-07,5.281354808343037e-07,1.6336099521499767e-07,1.5e-07,19.163540828680468,2
1.1551724522085905e-07,5.281354808343037e-07,1.6336099521499767e-07,2.507740259621318e-07,19.163540828680468,2
1e-07,5.281354808343037e-07,1.6336099521499767e-07,2.507740259621318e-07,19.227306815323317,2
2.0619181006491107e-07,6.433328552482363e-07,1.2135997197957002e-07,2.272942990358887e-07,1.7096766995212764,2
1.1551724522085905e-07,6.725875135001285e-07,1.7097513480638282e-07,1.6185611262988104e-07,19.878769389296224,2
1.7403290210491334e-07,6.433328552482363e-07,1.0661390463953574e-07,2.7693109023238255e-07,22.46583914961466,2
1e-07,5.069724812949157e-07,2.176054360443433e-07,2.0453176891875697e-07,12.32448274074956,2
1.9509046967240823e-07,5.799845946627966e-07,2.176054360443433e-07,2.0453176891875697e-07,3.175248443924223,2
1.7403290210491334e-07,6.060255649444589e-07,1.8127639494666738e-07,1.5214964385922207e-07,15.885436136910986,2
1.8171548315758269e-07,5.943969339524409e-07,1.9206053352722003e-07,1.5331352579445945e-07,14.223578625321801,2
1.8106061797353318e-07,4.3403979939118316e-07,2.0895036548143524e-07,1.5e-07,3.1849941738251313,2
2.0619181006491107e-07,6.433328552482363e-07,1.5983358086103216e-07,3e-07,1.7096766995212764,2
2.0972657505611204e-07,5.943969339524409e-07,1.9206053352722003e-07,1.5956438755653578e-07,9.626610342655509,2
