Lambda,DC,w,height,S11,generation
5.2778216704301e-07,0.5541989448894862,3.4189045472317937e-07,2.1453486258917805e-07,,1
1.826054326859157e-07,0.1,3e-07,2.573156249301328e-07,0.2831568355685256,1
3.097487061017606e-07,0.16751482520367678,3.070289860001993e-07,1.7297228708437724e-07,0.3585923573984457,1
3.097487061017606e-07,0.16751482520367678,3.070289860001993e-07,1.7297228708437724e-07,0.3585923573984457,2
5.315613248839376e-07,0.16751482520367678,3.070289860001993e-07,1.7297228708437724e-07,0.36776847059807094,2
3.097487061017606e-07,0.16751482520367678,3.070289860001993e-07,1.7297228708437724e-07,0.3585923573984457,2
