s,w,l,height,total_length,fitness_score,generation,fitness_strategy
2.332132963684214e-07,5.619654546916951e-07,1.598442733890933e-07,2.856468058589206e-07,1.1404457817985021e-05,-0.45853321998170193,1,highpass
1.0798861308924982e-07,6.151057818441837e-07,1.31493582796385e-07,2.188004388992081e-07,9.081025765323413e-06,0.016400277919608713,1,highpass
1.618368439846586e-07,4.1525075683277014e-07,1.0199504219295061e-07,2.1683595070707018e-07,4.7282305797567226e-05,0.013366756537534719,1,highpass
1.16014642220013e-07,7e-07,1.559864132595971e-07,1.970440120530823e-07,3.345765104672262e-05,-0.06707175513743108,1,highpass
1.827810425935333e-07,6.404044411943017e-07,1.933977545959228e-07,1.8336836122904395e-07,3.952972445765034e-05,-0.45420098158666,1,highpass
1.4880946371812682e-07,4.6707433241573055e-07,2.34802059989948e-07,1.812968647569226e-07,2.1577855874937562e-05,-0.020944071406500342,1,highpass
1.250289667179995e-07,6.667210692748995e-07,1.848351455295473e-07,1.5e-07,4.2016527726727916e-05,0.013247690697484243,1,highpass
1.7440834602642859e-07,5.36448870847678e-07,1.0057759185713155e-07,2.54565426676449e-07,1.5906831897491784e-05,0.01866162905753896,1,highpass
1.3284981031487958e-07,7e-07,1.2795220879754205e-07,1.7449356953648065e-07,4.031472897832913e-05,0.019316115649384902,1,highpass
2.1342319204377884e-07,4.033355816152714e-07,1.951065469590526e-07,2.709466670412573e-07,4.056692423988565e-05,0.003456117809645741,1,highpass
2.2821028890187183e-07,6.426154840412834e-07,1.4788491009295111e-07,1.782911641218907e-07,4.496941733396126e-05,-0.0006259294855528244,1,highpass
1.5428880561711254e-07,5.618112366302386e-07,1.6519457975189712e-07,1.9657195547601123e-07,2.6535666771074957e-05,0.011018433188799165,1,highpass
1.2266461372547638e-07,7e-07,1e-07,1.5e-07,3.5641185152988854e-05,0.02613567820157931,1,highpass
1.2809760601725487e-07,3.89515502925354e-07,1.802045947436049e-07,1.8375419441594647e-07,4.516152783624851e-05,0.026209511242597308,1,highpass
1.7670543982140345e-07,5.752506843537839e-07,1.1137463309332881e-07,1.5e-07,4.445126711416532e-05,0.018146707864401593,1,highpass
1.3122297454322065e-07,4.946102056567033e-07,1.1599023532734913e-07,1.7150396373125114e-07,4.036685253691686e-05,0.024827238648732174,1,highpass
1.9888202554771623e-07,5.582051197554022e-07,2.0772708213665132e-07,1.5e-07,4.393384912904255e-05,-0.0817958495224046,1,highpass
1e-07,7e-07,1e-07,2.1762323077432039e-07,4.7289676365179875e-05,0.014925420747997103,1,highpass
1.220337571333906e-07,6.342733494861851e-07,1.1488632493608898e-07,1.9014540201934326e-07,2.7840163708618003e-05,0.031499015393439155,1,highpass
1.661901875320303e-07,3e-07,1.2774268635269722e-07,2.9506264175148334e-07,4.546926095770533e-05,0.012905768359418753,1,highpass
1e-07,6.54076429645824e-07,1.5400517668209013e-07,3e-07,3.5815320794203256e-05,-0.17415948872904768,1,highpass
1.350343666843993e-07,5.299932100338135e-07,2.0552035190265724e-07,1.9868097073676848e-07,4.3873444034675665e-05,-0.139703660544025,1,highpass
1.1200627580110933e-07,4.3914801316338763e-07,1.5321958237456259e-07,2.786343308978468e-07,1.702146067985821e-05,0.03361934463326621,1,highpass
1.2058575072562992e-07,4.310490319392853e-07,1.2769406991880114e-07,2.5280056672583257e-07,1.9707447141068495e-05,0.02734000318610165,1,highpass
1.6166980863991776e-07,3.937854210257485e-07,1.6553321639359243e-07,2.3699025241427828e-07,3.9502857044814175e-05,0.027433774292310587,1,highpass
2.4284753953734314e-07,3.277746257885679e-07,1.773770196072668e-07,1.6378305718299713e-07,1.1277547936966115e-05,0.006954101732734211,1,highpass
1.7016457591380337e-07,3.922965759672028e-07,1.297009896519745e-07,1.5e-07,3.9263021242870507e-05,0.007483116403501439,1,highpass
1.8469529850649303e-07,3.0145438781975554e-07,1.709735112559045e-07,1.5161051849574614e-07,1.174675005281928e-05,0.0024093702918806643,1,highpass
1e-07,3.45935918883215e-07,1.208237281465025e-07,1.5e-07,4.6825246849379736e-05,0.00941158838688328,1,highpass
2.153249455217629e-07,6.825453326772303e-07,1.7142379831900454e-07,2.650942585608249e-07,4.046294684820493e-05,-0.16415718356586373,1,highpass
1.1200627580110933e-07,4.3914801316338763e-07,1.5321958237456259e-07,2.786343308978468e-07,1.702146067985821e-05,0.03361934463326621,2,highpass
1.1200627580110933e-07,4.3914801316338763e-07,1.5321958237456259e-07,2.786343308978468e-07,1.702146067985821e-05,0.03361934463326621,2,highpass
1.2809760601725487e-07,4.3914801316338763e-07,1.5321958237456259e-07,2.786343308978468e-07,1.702146067985821e-05,0.03354376645107068,2,highpass
1.6166980863991776e-07,3.937854210257485e-07,1.2769406991880114e-07,2.5280056672583257e-07,1.9707447141068495e-05,0.019393015725482063,2,highpass
1.220337571333906e-07,6.342733494861851e-07,1.1488632493608898e-07,1.9014540201934326e-07,3.9502857044814175e-05,0.019804113769861492,2,highpass
1.1200627580110933e-07,4.3914801316338763e-07,1.5321958237456259e-07,2.786343308978468e-07,3.5641185152988854e-05,0.032038687059366314,2,highpass
1.2058575072562992e-07,4.310490319392853e-07,1.2769406991880114e-07,2.54565426676449e-07,1.5906831897491784e-05,0.022875158290807364,2,highpass
1.6166980863991776e-07,3.937854210257485e-07,1.6553321639359243e-07,2.4837894750997386e-07,1.5906831897491784e-05,0.02563738685005397,2,highpass
1.220337571333906e-07,3.937854210257485e-07,1.6553321639359243e-07,2.3699025241427828e-07,3.9502857044814175e-05,0.03701271361630865,2,highpass
1.2809760601725487e-07,3.89515502925354e-07,1.5321958237456259e-07,2.786343308978468e-07,1.702146067985821e-05,0.031460969284366064,2,highpass
1.1200627580110933e-07,4.3914801316338763e-07,1.5321958237456259e-07,2.3699025241427828e-07,3.9502857044814175e-05,0.02925309394809221,2,highpass
1.2809760601725487e-07,3.937854210257485e-07,1.6553321639359243e-07,2.3699025241427828e-07,3.9502857044814175e-05,0.03296215517351092,2,highpass
1.1200627580110933e-07,4.3914801316338763e-07,1.5321958237456259e-07,1.7449356953648065e-07,4.031472897832913e-05,0.030059892627313615,2,highpass
1.1200627580110933e-07,4.3914801316338763e-07,1.5321958237456259e-07,2.54565426676449e-07,1.4962481311501067e-05,0.038281639366457884,2,highpass
1.6166980863991776e-07,7e-07,1.2795220879754205e-07,1.7449356953648065e-07,4.031472897832913e-05,0.006941735051827616,2,highpass
1.1200627580110933e-07,6.342733494861851e-07,1.1488632493608898e-07,1.9014540201934326e-07,2.7840163708618003e-05,0.02602405370197587,2,highpass
1.220337571333906e-07,6.342733494861851e-07,1.1488632493608898e-07,1.5e-07,3.5641185152988854e-05,0.022436052057581077,2,highpass
1.220337571333906e-07,4.3914801316338763e-07,1.5321958237456259e-07,2.786343308978468e-07,1.702146067985821e-05,-0.00035658326393464557,2,highpass
1.2809760601725487e-07,3.89515502925354e-07,1.1488632493608898e-07,2.5304931952933024e-07,2.7840163708618003e-05,0.018119728312904815,2,highpass
1.1200627580110933e-07,4.3914801316338763e-07,1.6553321639359243e-07,2.3699025241427828e-07,3.9502857044814175e-05,0.034079022505560636,2,highpass
