s,w,l,height,total_length,fitness_score,generation,fitness_strategy
1.0397996398137245e-07,6.315839376073809e-07,1.8073267481610424e-07,2.6645634850213855e-07,2.4556770302691333e-05,-0.051996351824369014,1,highpass
2.0530603194804436e-07,6.743785817319214e-07,2.2018337040931406e-07,2.3310367081840822e-07,7.386134919480252e-06,0.2999958075760469,1,highpass
1.6224140731343821e-07,3.4018238438868593e-07,1.5901876726700777e-07,2.070754871841294e-07,4.7429240098758755e-05,0.2728960636648109,1,highpass
1.3734245296648446e-07,6.586568112674485e-07,2.304368714344876e-07,2.449399579501918e-07,1.8521611136048398e-05,-0.12251481765573075,1,highpass
2.1188022041785416e-07,6.707246398716561e-07,2.2480703656741007e-07,2.319094504597251e-07,4.655117336928788e-05,0.2999943082704757,1,highpass
1e-07,7e-07,1.4207500392135595e-07,1.5e-07,4.451679891418778e-05,0.12572268076856208,1,highpass
1.926580345632892e-07,6.474299230945873e-07,1.9857244091258972e-07,1.853386127908808e-07,3.40514345759131e-05,0.15372594389630523,1,highpass
1.836980614366025e-07,5.188922379693637e-07,2.0006669478537383e-07,3e-07,4.112015828478204e-05,0.1478403416106547,1,highpass
1.808429389597122e-07,6.722600393965005e-07,1.509118247831351e-07,2.955039138781667e-07,3.480488739804793e-05,0.09145729579932534,1,highpass
1.000830313160889e-07,4.798903346361845e-07,1.257129888757333e-07,3e-07,4.346412944629506e-05,0.15089905796906644,1,highpass
1.476468497912877e-07,3.846784327652607e-07,1.877697523097896e-07,2.4209500103201975e-07,1.083641431987181e-05,0.21706986788557547,1,highpass
1.0948632729368739e-07,3.1693527565956125e-07,1.0167247988763169e-07,2.3208843046971384e-07,3.382571262394445e-05,0.2756863430431659,1,highpass
1.1884435762573903e-07,3e-07,1.5111346614962314e-07,2.468748262430209e-07,3.212920725130424e-05,0.26873920794447664,1,highpass
1.1478212106794005e-07,4.351246081032032e-07,1e-07,2.660807208645024e-07,3.789184400692378e-05,0.22446986626830612,1,highpass
1.9079478191735427e-07,4.24481943213406e-07,2.15711796027676e-07,2.8315566937046565e-07,4.588604266381245e-05,0.19382531608266043,1,highpass
1.6195955165191802e-07,6.60106862250462e-07,2.0233868980335575e-07,2.4780979809199556e-07,4.9490345916384935e-05,0.09027782145333259,1,highpass
1.5365374393820877e-07,3.2523950988685105e-07,1e-07,2.877163368376601e-07,4.322788014789733e-05,0.2765730796169296,1,highpass
2.2539369579969513e-07,5.629724020235177e-07,1.7583963053785899e-07,2.9452239365552686e-07,9.158664347219384e-06,0.13017969092986867,1,highpass
2.1073865136176155e-07,3.65278281201532e-07,2.449498683735571e-07,2.4321011288329776e-07,3.683597454431125e-05,0.22428756663697938,1,highpass
1.4516892886748355e-07,7e-07,1e-07,2.097526661247533e-07,3.9255928207382236e-05,0.17853387206273846,1,highpass
2.274678495561133e-07,3.883000558495159e-07,1.3479505961144758e-07,2.7449944692477107e-07,1.7858230130070203e-05,0.2696330337372575,1,highpass
2.3559014498617775e-07,4.3309229106540536e-07,1.5913510329554174e-07,1.8334975848508124e-07,1.6447015142939674e-05,0.2638146736442352,1,highpass
1.0831037844734075e-07,3.2442336575832003e-07,1.5594502012963173e-07,2.7249902994327326e-07,2.5524615818850383e-05,0.24432805880571362,1,highpass
1.0989307831264283e-07,5.941000656461526e-07,1.7972648326328297e-07,2.2923758931419665e-07,3.365831720311514e-05,0.016757974355340675,1,highpass
1.8474285335552802e-07,5.049286640603613e-07,1.222734183930507e-07,2.7237661775967803e-07,4.116668295532214e-05,0.21004782330933067,1,highpass
1.6990140011651987e-07,6.63405282644837e-07,1.72667574552584e-07,2.9453688395422323e-07,2.4304324506851572e-05,-0.01904139175687598,1,highpass
1e-07,5.504948757042226e-07,2.111956657551413e-07,2.5006058562751267e-07,4.012376707729728e-05,0.08104154259929733,1,highpass
1.644836302327758e-07,5.115957814307226e-07,2.2816503008795167e-07,2.709725517406165e-07,3.778277836137663e-05,0.1551464781149029,1,highpass
1.5449852851094882e-07,6.634662719473937e-07,2.3958717873335866e-07,2.2360937658202018e-07,3.595007991600904e-05,0.2993140082463392,1,highpass
1.1107502953184596e-07,4.1635410833241905e-07,2.0470652840131488e-07,3e-07,3.752363980138738e-05,0.13255203131338814,1,highpass
1.482111753243801e-07,4.106469019013302e-07,1.521689198932011e-07,1.9662606115720215e-07,3.547200759702315e-05,0.24669528777990346,1,highpass
1.4151036889912853e-07,6.525317187614595e-07,2.0777079825137375e-07,1.735197498678218e-07,3.590304265667797e-05,0.10185932770392436,1,highpass
1e-07,3e-07,1.5638335240891205e-07,3e-07,4.227071530500541e-05,0.23353871134573229,1,highpass
2.496014529902305e-07,4.8761158863355e-07,2.3245844402793316e-07,2.7997094868790614e-07,1.7483313958273935e-05,0.30014454329669216,1,highpass
1.2884534874634292e-07,6.876557851905909e-07,1.2846092229287017e-07,1.987521217849249e-07,4.0272677854020714e-05,0.12197753917758034,1,highpass
1.2061202338697542e-07,5.75651761743821e-07,1.0171801303112951e-07,1.5918996042940904e-07,2.5980080533099438e-05,0.23411548021289288,1,highpass
1.120828618497505e-07,4.4644723919379e-07,2.405974754109747e-07,1.8477244424964242e-07,2.552415198396944e-05,0.1407905815412362,1,highpass
1.036711400092355e-07,3.8806115697901075e-07,1.55426660913691e-07,1.7025726453947644e-07,7.621634612001389e-06,0.25198611547250277,1,highpass
1.9698773146166577e-07,6.226515361897335e-07,1.4949336419403367e-07,3e-07,3.8074043192012224e-05,0.14416079117775812,1,highpass
1.4304367899015607e-07,3.666011396608308e-07,1.6027905381361068e-07,1.9263082099620795e-07,3.24884259535666e-05,0.2598170910291086,1,highpass
1.200049645748955e-07,4.916475658574383e-07,2.2697296706646476e-07,2.0288210141445026e-07,2.827326638077902e-05,0.11340723219310592,1,highpass
1.8090388108933554e-07,5.029639636452482e-07,1.2069954309206128e-07,2.474891340406324e-07,5.891240568569078e-06,0.23885507473815062,1,highpass
1.8534953818515912e-07,6.406737865701511e-07,1.6915495190663894e-07,2.695863380625855e-07,3.79347403296928e-05,0.13167053126718753,1,highpass
1.1950270449585115e-07,4.551241085908069e-07,1.1683587543091745e-07,1.5e-07,3.8556454277524094e-05,0.2593854416329682,1,highpass
2.1799060131846982e-07,6.417898581736953e-07,2.072459860765585e-07,2.2828582628027583e-07,3.6152685896269417e-05,0.29964024027163216,1,highpass
1.4306875409140727e-07,4.87714734639424e-07,2.2706384836860188e-07,2.566385892125563e-07,2.4229730912013234e-05,0.057127311178964746,1,highpass
