s,w,l,height,total_length,fitness_score,generation,fitness_strategy
1.1078784990865935e-07,3.6661551157729743e-07,1.7841279172515325e-07,1.9073558402429952e-07,2.0653454050455627e-05,0.4003549211354388,1,highpass
1.8744329134505284e-07,3e-07,1.7129717599623238e-07,2.444049419268727e-07,3.7966257539218584e-05,0.40537051320802053,1,highpass
1.1885424722507006e-07,6.27635957374654e-07,1.5552494500786655e-07,1.7217101859409263e-07,3.26073711998003e-05,0.3421771129977443,1,highpass
1.8744329134505284e-07,3e-07,1.7129717599623238e-07,2.444049419268727e-07,3.7966257539218584e-05,0.40537051320802053,2,highpass
1.8744329134505284e-07,3e-07,1.7129717599623238e-07,2.444049419268727e-07,3.7966257539218584e-05,0.40537051320802053,2,highpass
1.8744329134505284e-07,3e-07,1.7129717599623238e-07,1.6170763208779268e-07,3.7966257539218584e-05,0.393540962724299,2,highpass
