Lambda,DC,w,height,S11,generation
1.5035319866340587e-07,0.31833038381627754,6.772430284893645e-07,2.355121674896552e-07,,1
1.571373117756018e-07,0.1,3e-07,1.8146306941901531e-07,0.35165844197943935,1
2.0011079651272885e-07,0.42868912255596026,4.7305972123896183e-07,2.986105041601364e-07,,1
1.571373117756018e-07,0.1,3e-07,1.8146306941901531e-07,0.35165844197943935,2
1.571373117756018e-07,0.1,3e-07,1.8146306941901531e-07,0.35165844197943935,2
1.571373117756018e-07,0.1,3e-07,1.8146306941901531e-07,0.35165844197943935,2
