s,w,l,height,total_length,fitness_score,generation,fitness_strategy
1.1713552751704744e-07,3.485728246918649e-07,1.0886742648302202e-07,1.9833850609203709e-07,2.4621639979106043e-05,0.5140347483152052,1,highpass
2.0705734149246434e-07,3.029906696833521e-07,2.46287607102828e-07,2.3256823555922256e-07,2.0090222650295325e-05,0.5375053877286097,1,highpass
1.179193766974222e-07,6.795625443488756e-07,1.5603767508971513e-07,2.5055150941539904e-07,3.780059673842732e-05,0.5128855072745253,1,highpass
1.97395619761575e-07,3.967609583495872e-07,2.0813743486162515e-07,2.725399282054917e-07,9.222501609703546e-06,0.5611682597164671,1,highpass
1.3971253393267153e-07,3.0407873154119594e-07,2.3149217575057185e-07,2.8902794700581176e-07,3.179052292336536e-05,0.5526894739355345,1,highpass
2.050433713146315e-07,6.787517325803616e-07,2.057963433769301e-07,1.5e-07,4.6163175856887176e-05,0.41256002405295267,1,highpass
1.5575141588680818e-07,3.5619667533186823e-07,1.307988914113893e-07,2.9851343372022344e-07,3.2642294320396346e-05,0.5274257404581757,1,highpass
1.3237667803514675e-07,6.19402678281919e-07,1.2839218690757755e-07,2.447847572406277e-07,3.074680738305149e-05,0.5377756061695285,1,highpass
1.7560221313557884e-07,4.196223320824508e-07,1.4770777575673004e-07,2.2599207848767943e-07,4.2758792922115573e-05,0.5318713795598977,1,highpass
1.5320216525507657e-07,4.903128112277045e-07,2.1149557695233987e-07,2.182622656518575e-07,1.936985335160279e-05,0.46789673327957404,1,highpass
1.5251040132002954e-07,3.9267067944078314e-07,2.2447795832720643e-07,3e-07,4.0574851376937836e-05,0.5440187568863224,1,highpass
1.4524384644860408e-07,4.0795886011077577e-07,1.4644180165989838e-07,2.1986471161198914e-07,3.2629666444673396e-05,0.5381339445080482,1,highpass
1.4253371065848707e-07,5.585176805871739e-07,1.6886139575247924e-07,2.1933845407576454e-07,4.083259631884191e-05,0.5364580428646528,1,highpass
1.1017463720618097e-07,6.280001645565295e-07,1.660819012192174e-07,2.0382533960141258e-07,4.5097365016288725e-05,0.5599753866097954,1,highpass
1.2491915930310233e-07,5.664310334114096e-07,1.2612644469377911e-07,3e-07,4.6306747196996015e-05,0.5499281201922753,1,highpass
1.8889949360053102e-07,5.935083002468001e-07,1e-07,2.550712270881227e-07,4.763807550308787e-05,0.5347495702869978,1,highpass
2.1923984547999636e-07,6.573989349887515e-07,2.1757583078622494e-07,1.6475818395204073e-07,3.3614154190732834e-05,0.477686188928758,1,highpass
