s,w,l,height,total_length,fitness_score,generation,fitness_strategy
2.437403079893516e-07,5.62038017295807e-07,2.2059561526935132e-07,2.339854673550559e-07,2.9613024503817126e-05,0.9678143549648902,1,highpass
1e-07,6.309579286696749e-07,1e-07,3e-07,3.915212864567698e-05,7.180364548241417,1,highpass
1.335431080021151e-07,6.980693655305571e-07,1.7056181379731468e-07,2.516939146141406e-07,2.8475208850110635e-05,6.139616464804387,1,highpass
1.5974482440272086e-07,6.02118332772231e-07,1.971573245351597e-07,2.3203967914515292e-07,4.249956020357068e-05,0.8530158223927397,1,highpass
1.3042792774733808e-07,6.446301248149594e-07,2.1095422925108021e-07,1.5193352704208038e-07,3.625190409877507e-05,5.031308145366173,1,highpass
1e-07,4.7126176597589625e-07,2.037814057401772e-07,2.1435085260476906e-07,4.581014995102641e-05,2.0673650624959246,1,highpass
2.1306295643211704e-07,6.20079706820591e-07,1e-07,2.825521938476296e-07,4.690073831419469e-05,2.3028773796645288,1,highpass
1.5460749294951736e-07,5.863392750678135e-07,2.3058252553969378e-07,1.5753569172078423e-07,2.1695927227366344e-05,8.336602842984048,1,highpass
1.4092631605238931e-07,6.411531069730451e-07,1.2115072430384824e-07,2.615716286343979e-07,1.0017742357156926e-05,3.6064904045007946,1,highpass
2.0302950894916736e-07,6.578494014624929e-07,2.0878615198153987e-07,2.8791892848121623e-07,2.7535637326650655e-05,0.9684201418394004,1,highpass
1.7704226022647847e-07,5.693820069787623e-07,1.5726670652627898e-07,2.434751090384751e-07,3.678808341394254e-05,2.6196385960283752,1,highpass
1.5273959578887047e-07,5.779937764166839e-07,1.754712177163609e-07,1.5e-07,4.6923037313616055e-05,2.0747095783657867,1,highpass
1.0051985711824536e-07,4.336299987185854e-07,1.4870756798213677e-07,1.9728161303772706e-07,1.819665777206908e-05,1.4926518459257991,1,highpass
1.8026630406924627e-07,5.626054870958255e-07,2.1202532113088358e-07,3e-07,4.713901360733689e-05,0.9715769169719533,1,highpass
2.3809078729492542e-07,5.309861523395232e-07,1.2037303157500312e-07,2.9555433681622697e-07,9.706280593280082e-06,3.1601480256443564,1,highpass
1e-07,3e-07,1e-07,1.9916096343399818e-07,4.501351428502704e-05,1.0051443667536137,1,highpass
1.4457830539885713e-07,5.639541351811218e-07,2.1085080869208535e-07,2.1732037659897366e-07,8.537356642257677e-06,3.9980693185567513,1,highpass
1.3718262346716286e-07,5.225500693000271e-07,1.4775074258853083e-07,2.944627545897251e-07,3.7115878162226e-05,6.487999016959756,1,highpass
1.480083591570893e-07,3e-07,1.1032048242335358e-07,2.489806612922511e-07,3.5810792154810976e-05,1.0038725932451,1,highpass
1.2066017643193188e-07,6.316475800300585e-07,1.6654438642748073e-07,2.578903186902458e-07,3.624706826590388e-05,4.892173872483919,1,highpass
1.0385259737215597e-07,5.30015886666414e-07,2.2999765214695725e-07,1.6494785157769258e-07,1.7266486616846506e-05,4.6058730574361535,1,highpass
1.8455674958852148e-07,6.644684526445718e-07,2.0607670090940334e-07,2.595340798592826e-07,3.891501077548117e-05,0.9678665373102276,1,highpass
1e-07,7e-07,1.0364002981267781e-07,2.753720460926881e-07,3.5920083885601476e-05,6.864432520210945,1,highpass
1.424506252668572e-07,4.250907049052523e-07,1.473843473197823e-07,2.0632764831890495e-07,2.0050652525182545e-05,1.2782474097098913,1,highpass
2.362332643962873e-07,4.873849135102493e-07,1.820206457463457e-07,1.6082568441034046e-07,1.9271406465661712e-05,2.1949838082082227,1,highpass
1.8811707529252902e-07,3.8073310405518894e-07,1.3716571048712582e-07,2.0901465209954355e-07,3.870794028630869e-05,1.1541778711355015,1,highpass
1.1523930690291492e-07,5.091665636578088e-07,1e-07,1.5e-07,3.2136236543356434e-05,1.1481435299004494,1,highpass
1.2840234592564054e-07,6.025152853594872e-07,2.2120235784841093e-07,3e-07,3.341223085155961e-05,0.9252146482102583,1,highpass
1.654425760998701e-07,3.4055658492650044e-07,2.2028619177651613e-07,2.4680619222556654e-07,1.63057309616925e-05,1.4181770108304372,1,highpass
1.4047641236197424e-07,3.6052892691683183e-07,1.2278295961133717e-07,2.1168580342245607e-07,4.483628696814944e-05,1.1284323579327145,1,highpass
1.5460749294951736e-07,5.863392750678135e-07,2.3058252553969378e-07,1.5753569172078423e-07,2.1695927227366344e-05,8.336602842984048,2,highpass
1e-07,6.309579286696749e-07,1e-07,2.944627545897251e-07,3.7115878162226e-05,5.928241289870584,2,highpass
1e-07,7e-07,1.0364002981267781e-07,2.753720460926881e-07,4.581014995102641e-05,1.4937892267783006,2,highpass
1e-07,6.309579286696749e-07,1e-07,3e-07,2.0050652525182545e-05,5.517366417105865,2,highpass
1.4457830539885713e-07,5.639541351811218e-07,1.5726670652627898e-07,2.434751090384751e-07,3.678808341394254e-05,9.40913540586064,2,highpass
1.5460749294951736e-07,5.863392750678135e-07,2.3058252553969378e-07,1.5753569172078423e-07,3.7115878162226e-05,2.4891005134801207,2,highpass
1.2066017643193188e-07,6.316475800300585e-07,1.6654438642748073e-07,1.9021731698836182e-07,2.1695927227366344e-05,8.245666919714868,2,highpass
1e-07,6.309579286696749e-07,1e-07,3e-07,3.915212864567698e-05,7.180364548241417,2,highpass
1.3718262346716286e-07,5.225500693000271e-07,2.3058252553969378e-07,1.5753569172078423e-07,2.1695927227366344e-05,7.266667572253815,2,highpass
1.5460749294951736e-07,6.411531069730451e-07,2.033478495834164e-07,2.615716286343979e-07,1.0017742357156926e-05,0.8917416265644406,2,highpass
1.335431080021151e-07,6.316475800300585e-07,1.6654438642748073e-07,2.578903186902458e-07,3.624706826590388e-05,4.426635657076356,2,highpass
1.3718262346716286e-07,5.371357337873215e-07,1.2037303157500312e-07,2.9555433681622697e-07,9.706280593280082e-06,2.236046496879225,2,highpass
1.4457830539885713e-07,5.639541351811218e-07,2.1085080869208535e-07,1.5753569172078423e-07,2.1695927227366344e-05,7.222340051305409,2,highpass
1.5460749294951736e-07,5.863392750678135e-07,2.3058252553969378e-07,1.5753569172078423e-07,2.8475208850110635e-05,3.533470198205348,2,highpass
1.5460749294951736e-07,5.863392750678135e-07,2.3058252553969378e-07,1.5753569172078423e-07,3.5920083885601476e-05,2.0981021640621105,2,highpass
1.335431080021151e-07,6.980693655305571e-07,1.7056181379731468e-07,2.516939146141406e-07,2.8475208850110635e-05,6.139616464804387,2,highpass
1e-07,6.309579286696749e-07,1.4775074258853083e-07,2.9654545199346044e-07,3.7115878162226e-05,6.526065080352529,2,highpass
1.335431080021151e-07,4.873849135102493e-07,1.820206457463457e-07,1.6082568441034046e-07,1.9271406465661712e-05,1.8376804607279649,2,highpass
1.0385259737215597e-07,5.30015886666414e-07,1.2037303157500312e-07,2.9555433681622697e-07,9.706280593280082e-06,2.4212414508762246,2,highpass
