s,w,l,height,total_length,fitness_score,generation,fitness_strategy
2.0167508171373443e-07,5.071440392464843e-07,1.2244157368155761e-07,2.1162186048592672e-07,4.218543423297964e-05,5.838580373797965,1,highpass
1.8796819220717856e-07,3.825847903673269e-07,2.2093118137248425e-07,2.489905752276797e-07,3.2653692415946933e-05,20.072582789825468,1,highpass
2.3795882147836906e-07,3.917204587220874e-07,1.7465685529692182e-07,1.6355281041383683e-07,2.6345126160690807e-05,2.1193385008128787,1,highpass
1.224051050992314e-07,6.227014108771297e-07,1.1796772739531904e-07,2.449559495089176e-07,3.8366012791053235e-05,39.96611779289432,1,highpass
1.6560121541226725e-07,3.5818325284262974e-07,1.3498109547672222e-07,1.5e-07,3.933598128035907e-05,1.4305439292034865,1,highpass
1.0929720243270257e-07,4.3727010853810496e-07,1.625686171318317e-07,1.5e-07,4.043267808742105e-05,10.947106069122972,1,highpass
1.9748802227064362e-07,4.061051107343976e-07,1.711343853721235e-07,2.0585043048288674e-07,3.6371938271292104e-05,8.381473973008099,1,highpass
1.6770170009613572e-07,3e-07,1.502717762393711e-07,2.502515994352624e-07,3.3365207167539454e-05,1.799286304400544,1,highpass
1.2183467863255754e-07,4.550757499853005e-07,1.1649401772405978e-07,2.724788467444346e-07,4.755639840232482e-05,13.051526659044328,1,highpass
1.7589920300563293e-07,4.573370356213596e-07,1.5295697621965905e-07,3e-07,3.901392016987952e-05,26.060958015867204,1,highpass
1.4690408175038337e-07,6.471180971152027e-07,1.9732953091143323e-07,2.911478764015725e-07,3.8257027607142785e-05,21.53702816310058,1,highpass
1.499842055964803e-07,6.096882552197796e-07,2.150510474081957e-07,2.3036118750905428e-07,2.371734449726329e-05,367.67980070836086,1,highpass
1.2106298908996357e-07,5.986798925848301e-07,1.5801791231151622e-07,1.5e-07,4.4398953524613066e-05,21.28033016483226,1,highpass
1.0094794345857857e-07,3.332680673391806e-07,1.1607034931800886e-07,1.8925366810824853e-07,4.433542086462717e-05,1.7187507196776195,1,highpass
1e-07,5.321471357937096e-07,1.6832930902176092e-07,1.5e-07,4.631811994083074e-05,25.613405192501165,1,highpass
2.0193603773699007e-07,5.734263559633571e-07,2.44371174540796e-07,1.730505794598518e-07,9.798605844451335e-06,24.83581802834173,1,highpass
2.3119285177082956e-07,5.455188055772871e-07,1.7959366797809295e-07,1.618506115102973e-07,3.217372445822621e-05,20.728062423813693,1,highpass
1.9978845426834022e-07,5.847378823108484e-07,1.4179576846235893e-07,2.986740452727255e-07,3.3454035172005033e-05,65.55661689579588,1,highpass
1.2493583544784113e-07,5.188847987138719e-07,2.1925394610971414e-07,3e-07,3.694039330917393e-05,23.837636311123358,1,highpass
1.5875865174679992e-07,3.285598180333681e-07,1.9763079410703847e-07,1.9540796867332916e-07,4.93911409248538e-05,3.205725702946286,1,highpass
1.5052280768151905e-07,5.240028108451339e-07,1.0621420940686932e-07,2.531354189513498e-07,1.8122829911413036e-05,10.265402972261978,1,highpass
1.3474965840258368e-07,3.0651691776754373e-07,2.388607169122029e-07,2.216990300439337e-07,1.545242645887342e-05,3.375035629685361,1,highpass
1.9331149890184748e-07,6.555605537460038e-07,2.4873037123970387e-07,2.2192181518430946e-07,9.856654148934973e-06,121.67803900742805,1,highpass
1.8762976073750176e-07,3.827808167862219e-07,1.892455724852942e-07,3e-07,4.099034188488513e-05,13.99077850381324,1,highpass
2.0074904495024674e-07,3.17625062859959e-07,2.3620790083987271e-07,2.9827871562899226e-07,3.937855495186954e-05,13.06445349168813,1,highpass
1.1038916457722477e-07,5.602886614081774e-07,1.94975021255219e-07,2.445250872791756e-07,4.371550011438174e-05,8.286190297331336,1,highpass
1.3844509673090332e-07,3.944522301448208e-07,1.910996842112926e-07,2.646847052044946e-07,8.55011834598756e-06,8.291082248403892,1,highpass
1.8784330749995627e-07,5.734272238727104e-07,2.4643361107340413e-07,2.4623469151884614e-07,5.980627382265634e-06,1.4485593007178283,1,highpass
1.2570454733821845e-07,3.7969964775728037e-07,1.8388219782256405e-07,1.711778666665671e-07,4.063509953214461e-05,3.938736993784536,1,highpass
1.4120641348704558e-07,4.163252450685633e-07,1e-07,2.8395117461501106e-07,4.6281067662954313e-05,4.7500177426732275,1,highpass
1.499842055964803e-07,6.096882552197796e-07,2.150510474081957e-07,2.3036118750905428e-07,2.371734449726329e-05,367.67980070836086,2,highpass
1e-07,6.282925714133944e-07,2.2093118137248425e-07,2.489905752276797e-07,3.2653692415946933e-05,337.08338228287136,2,highpass
1.9978845426834022e-07,5.847378823108484e-07,1.1796772739531904e-07,2.449559495089176e-07,3.8366012791053235e-05,16.459597478248416,2,highpass
1.9331149890184748e-07,5.455188055772871e-07,1.7959366797809295e-07,1.618506115102973e-07,3.217372445822621e-05,17.08957196564585,2,highpass
2.3644304497427706e-07,6.555605537460038e-07,2.4873037123970387e-07,2.2192181518430946e-07,9.856654148934973e-06,47.829011601222525,2,highpass
1.9331149890184748e-07,6.555605537460038e-07,1.4179576846235893e-07,2.986740452727255e-07,3.3454035172005033e-05,119.47554458463924,2,highpass
1.224051050992314e-07,6.227014108771297e-07,1.892455724852942e-07,3e-07,4.099034188488513e-05,12.108993698590218,2,highpass
1.224051050992314e-07,6.227014108771297e-07,1.1796772739531904e-07,2.815898576286887e-07,9.856654148934973e-06,24.636641597245713,2,highpass
1.224051050992314e-07,3.17625062859959e-07,2.3620790083987271e-07,2.9827871562899226e-07,3.937855495186954e-05,10.772152222192226,2,highpass
1.9978845426834022e-07,5.847378823108484e-07,1.6832930902176092e-07,1.5e-07,4.631811994083074e-05,14.622173401618076,2,highpass
1.9331149890184748e-07,4.573370356213596e-07,1.5295697621965905e-07,2.9362023673927163e-07,3.901392016987952e-05,22.581118564509303,2,highpass
1.4690408175038337e-07,6.471180971152027e-07,1.4179576846235893e-07,2.986740452727255e-07,3.3454035172005033e-05,173.88456093644683,2,highpass
1.9331149890184748e-07,6.555605537460038e-07,2.4873037123970387e-07,2.2192181518430946e-07,9.856654148934973e-06,121.67803900742805,2,highpass
1.224051050992314e-07,6.227014108771297e-07,1.5295697621965905e-07,3e-07,3.901392016987952e-05,70.80807192708184,2,highpass
1.9978845426834022e-07,5.847378823108484e-07,1.4179576846235893e-07,2.986740452727255e-07,3.3454035172005033e-05,65.55661689579588,2,highpass
1.499842055964803e-07,6.096882552197796e-07,2.150510474081957e-07,2.3036118750905428e-07,2.371734449726329e-05,367.67980070836086,2,highpass
1.9978845426834022e-07,5.847378823108484e-07,1.4179576846235893e-07,3e-07,3.694039330917393e-05,52.98852420569291,2,highpass
1.9331149890184748e-07,6.555605537460038e-07,2.4873037123970387e-07,2.449559495089176e-07,3.8366012791053235e-05,28.079358750855125,2,highpass
1.8762976073750176e-07,3.827808167862219e-07,1.892455724852942e-07,1.5e-07,4.043267808742105e-05,2.652087075462237,2,highpass
1e-07,5.321471357937096e-07,1.4179576846235893e-07,2.986740452727255e-07,3.3454035172005033e-05,95.40075334801611,2,highpass
1.7589920300563293e-07,6.555605537460038e-07,2.4873037123970387e-07,2.2192181518430946e-07,9.856654148934973e-06,2.545956443191507,2,highpass
1.4690408175038337e-07,6.471180971152027e-07,1.6832930902176092e-07,1.5e-07,4.631811994083074e-05,24.018246996156577,2,highpass
