s,w,l,height,total_length,fitness_score,generation,fitness_strategy
1.3523989222989675e-07,3e-07,1.166921618093399e-07,2.387070951736545e-07,4.5223887071431444e-05,0.7042007170346513,1,highpass
1.4546150837617887e-07,4.7415919590562475e-07,1.1083408719068395e-07,2.7372176114520323e-07,4.0710606201637764e-05,0.8053255752077912,1,highpass
1.762101666757697e-07,6.269991415273136e-07,1.2142957085082898e-07,2.2239826874254947e-07,1.1401733115811647e-05,0.8534629671677413,1,highpass
2.3779227043020268e-07,3.554257616272767e-07,1.386275906877369e-07,2.6002213423779437e-07,4.4170119372046535e-05,0.7180268095581458,1,highpass
1.1172128949471e-07,6.240364629900943e-07,1.4939462512572495e-07,2.517047592966904e-07,9.489358087546367e-06,0.8777109568950554,1,highpass
1.517169464892247e-07,5.873648824717835e-07,1.0196904189290957e-07,3e-07,4.1103068848661983e-05,0.860120401081643,1,highpass
1.3888186876970046e-07,4.443560407736867e-07,1.470064095663576e-07,1.9903788635745907e-07,4.849350568106238e-05,0.7965578787307332,1,highpass
1.034810396631494e-07,4.3637210347418645e-07,1.1142778394663455e-07,1.5e-07,4.204770748137257e-05,0.7443752546780555,1,highpass
1.2457778065862022e-07,3.0336900620586563e-07,1.3300920611736235e-07,2.486421950279396e-07,3.910229635253682e-05,0.7209091449011292,1,highpass
1.1856070504743623e-07,4.1249671427464727e-07,2.0151400543438261e-07,2.850963453984117e-07,3.479683126005105e-05,0.878924956626365,1,highpass
1.4371496909226696e-07,6.661887687726418e-07,1.3590493170653208e-07,1.6329080177817856e-07,4.149803716513344e-05,0.8465487791204317,1,highpass
1.0981362003552692e-07,3.8619223586738514e-07,1.3543184945781953e-07,2.6868897308603884e-07,4.48931902919872e-05,0.7939113959627095,1,highpass
2.355467002469845e-07,4.5946573838508206e-07,1.381320451290431e-07,1.505432354503679e-07,2.3627514911355147e-05,0.7175657469415496,1,highpass
1.6178244157596813e-07,5.577343837546673e-07,1.4597842222235042e-07,2.782425175408062e-07,3.508445076156072e-05,0.8742848265314899,1,highpass
1e-07,5.392119714462741e-07,1.878654976405222e-07,1.6459599196735974e-07,3.624298488772528e-05,0.8785659367864442,1,highpass
1.1310468731832463e-07,3e-07,1e-07,2.8096103481137534e-07,3.427174878623854e-05,0.7131620924392393,1,highpass
1.5581132856313362e-07,3.728173860390749e-07,1.5021598899911193e-07,1.6618333029039263e-07,4.101371528096286e-05,0.7247500426581099,1,highpass
2.1422256645841506e-07,4.3487748896311556e-07,1.6450127009499472e-07,1.5e-07,3.730273001457939e-05,0.7279257071784454,1,highpass
1.4395929453289273e-07,5.334677416901112e-07,1.9815450659344142e-07,2.4048926622322006e-07,3.8248835076225316e-05,0.8734973821636066,1,highpass
1.5399953811839757e-07,3.120281269578524e-07,1.0205357314845217e-07,1.7710247312925454e-07,6.805084483385847e-06,0.6896510749026006,1,highpass
1.7538429340756465e-07,6.616470927869231e-07,2.2769015546285684e-07,2.59540744167053e-07,4.6068787224029453e-05,0.6798791337022135,1,highpass
1.3902704912887658e-07,3.258356972872558e-07,2.0843552016701002e-07,2.7633043455283604e-07,4.0202848382166194e-05,0.8144114044192039,1,highpass
1.0107768592045866e-07,3.560751059705769e-07,1.9812946818883707e-07,2.8476354297296404e-07,9.654522010176629e-06,0.8635451542308801,1,highpass
1e-07,3.9908422568820625e-07,1.325121963521729e-07,3e-07,4.249896380559536e-05,0.8335754236894117,1,highpass
1.045834613122905e-07,6.882033272083129e-07,2.2770440743989828e-07,1.9288596839648356e-07,4.482320585722399e-05,0.7017210090818916,1,highpass
2.0543884971971373e-07,3.04669529107678e-07,1.923843017918054e-07,2.43116921533579e-07,3.7517694344680236e-05,0.7265363516698532,1,highpass
2.1209433794038598e-07,4.177842960800508e-07,1.4000186889115747e-07,1.5357816486809592e-07,3.5653388692946636e-05,0.7066841571006234,1,highpass
1.548582837857622e-07,5.102355361257762e-07,1.1182199203827764e-07,2.3357446696739955e-07,2.195852129993852e-05,0.8005123861768314,1,highpass
2.3515317499698328e-07,3.6304948319877353e-07,1.3868712502650645e-07,2.072658369979728e-07,1.6568233131751335e-05,0.7124857032537149,1,highpass
1.791806697046654e-07,4.266176342809357e-07,1.2984895735383228e-07,2.1281571976107202e-07,1.3835999759934313e-05,0.7458423964672299,1,highpass
1e-07,3.227573234634593e-07,2.0067648620274708e-07,1.9528495098579756e-07,3.219223912952372e-05,0.7841975400468397,1,highpass
1.920643901705874e-07,3.1911591683105306e-07,1.6437418332948315e-07,1.8150456590177337e-07,4.634735196725098e-05,0.70953509002218,1,highpass
1.9391829897915918e-07,3.501739021514916e-07,1.6557817691307635e-07,1.5039645015691498e-07,4.1891511412501895e-05,0.698603912143275,1,highpass
2.0106293310596231e-07,6.970189597253217e-07,2.449274942778674e-07,1.8302938897844793e-07,2.2903853397415086e-05,0.6798794092647354,1,highpass
1.161487533981517e-07,4.7602435787672984e-07,1.854115238292428e-07,2.7836794217364914e-07,4.127652334875804e-05,0.8908597016737122,1,highpass
1.584701387295383e-07,3.123814444401325e-07,1.1124841380468e-07,1.5510233717651792e-07,1.2432395092716612e-05,0.6881263208922103,1,highpass
1.339341686389402e-07,6.365333387004494e-07,1.5980714679018398e-07,2.856554065120885e-07,2.4386072149937822e-05,0.8394671936718016,1,highpass
1.7047963283386867e-07,4.005430760126965e-07,2.1778144457944447e-07,2.106580924819614e-07,3.0034077322144283e-05,0.8234695542698637,1,highpass
1.4987470687543984e-07,5.592353140805751e-07,1.8624572543300758e-07,2.030663513398081e-07,2.4931162446297515e-05,0.8770067781928489,1,highpass
1e-07,3e-07,1.3382707136725098e-07,1.636362606342754e-07,3.997715217836571e-05,0.7051569234388078,1,highpass
1.161487533981517e-07,4.7602435787672984e-07,1.854115238292428e-07,2.7836794217364914e-07,4.127652334875804e-05,0.8908597016737122,2,highpass
1.517169464892247e-07,5.873648824717835e-07,1.0196904189290957e-07,3e-07,4.1103068848661983e-05,0.860120401081643,2,highpass
1.517169464892247e-07,4.7602435787672984e-07,1.854115238292428e-07,2.7836794217364914e-07,4.127652334875804e-05,0.8748754756853171,2,highpass
