s,w,l,height,delta_amp,generation
1.3800224318295578e-07,4.986002767356964e-07,1.1218562406508454e-07,2.645640766823043e-07,11.468099079679309,1
1.6356535386685514e-07,6.501024355213551e-07,2.0849627246318866e-07,2.4832633200581513e-07,1.8566894164701937,1
1.3350943213535315e-07,5.008416818026021e-07,2.4826526389035536e-07,2.2848578501404138e-07,5.522302701593095,1
1.2160773808620992e-07,5.218729864393162e-07,1.1363161545685111e-07,1.6227942269507057e-07,4.218711270605053,1
1.3464668387499633e-07,4.224732840629617e-07,2.0036499087731233e-07,2.132953779664475e-07,8.868045446438165,1
2.0437661753729237e-07,3e-07,2.1095764224411384e-07,1.9270464583144374e-07,0.39544326789177764,1
1.654954014117112e-07,3e-07,1.4468099331093118e-07,3e-07,1.253394749912155,1
2.1045104759168202e-07,3.201422375908604e-07,1.4917300284844986e-07,1.5e-07,0.0,1
1e-07,5.196726492816331e-07,1.2594947376408177e-07,2.0280083643530077e-07,15.411154463219177,1
1.870278712384167e-07,6.46408818174992e-07,1.0280735124307035e-07,1.590354148900276e-07,5.947613308072228,1
1.7045313144205762e-07,3.8735081027729875e-07,1.9674584801966198e-07,1.9538135075285278e-07,3.0426755009510575,1
1e-07,5.481457265662524e-07,1.2816134777266935e-07,3e-07,18.44856613361102,1
1.6381666489660493e-07,4.351306446328276e-07,1.9558843247754073e-07,1.5e-07,3.0449438075568094,1
1.3058384742299965e-07,3.9849786704059307e-07,1.1013857544428115e-07,1.895435440580018e-07,1.3536834939395623,1
1.6612809470254748e-07,3e-07,1.1142784615568302e-07,2.9008264324367917e-07,0.6145538476088088,1
1.1744094234749413e-07,7e-07,1.1915557261738697e-07,3e-07,32.325280859137735,1
1.6135972554274072e-07,3e-07,2.1449600363298886e-07,2.5198044412745874e-07,1.496775382583935,1
1.5899003017949737e-07,5.269391962719692e-07,1.3677835274627053e-07,1.7231187807886205e-07,7.145439099685623,1
1.7107369701304582e-07,5.142029833507897e-07,1.5159658609167396e-07,1.6027441804806785e-07,5.783798300093926,1
2.0525005124454316e-07,3.783416344520186e-07,1.1336769710145456e-07,2.5382052918022986e-07,1.090802939608293,1
2.1709832908254072e-07,5.929525281844771e-07,1.2015406287001781e-07,1.5803634321825612e-07,3.5012514914309296,1
1.98751970709219e-07,5.712347221982748e-07,1.6824507918897088e-07,1.5e-07,10.800314810165563,1
1.0651001060128349e-07,6.21759236918897e-07,1.709107604787123e-07,1.7560668109743298e-07,22.59655306017683,1
2.1645832471108662e-07,6.198955483036208e-07,2.2122400033588128e-07,2.1856146328936986e-07,0.0,1
1.3813516014775702e-07,4.412391736646861e-07,1.504923467241948e-07,2.9797213885182894e-07,13.500195554484007,1
2.0271300906607704e-07,3.1672184825082326e-07,1.5731696098956564e-07,1.9533205272500628e-07,0.41149773332678086,1
1.527936190545498e-07,5.398039149801462e-07,1.2833995273988342e-07,1.6914350361132564e-07,7.236827943222362,1
2.0359998124221572e-07,3.232765137357737e-07,1.8407114520979434e-07,2.3266913343332078e-07,1.5357596770975692,1
2.2873840334046865e-07,5.549575029276302e-07,1.2252814590098065e-07,2.0831888564565818e-07,10.28320182731159,1
1.8780415240237654e-07,3.9049743653690906e-07,2.3580351163681828e-07,1.9427657490042985e-07,6.609007930477644,1
1.98751970709219e-07,5.712347221982748e-07,1.6824507918897088e-07,2.0280083643530077e-07,9.583336719313511,2
1.1744094234749413e-07,6.21759236918897e-07,1.709107604787123e-07,1.7560668109743298e-07,22.51438766011396,2
1.3813516014775702e-07,4.986002767356964e-07,1.1218562406508454e-07,2.645640766823043e-07,13.192415397692088,2
1.3813516014775702e-07,4.412391736646861e-07,1.504923467241948e-07,1.5e-07,2.399464082098073,2
1.0651001060128349e-07,6.21759236918897e-07,1.6824507918897088e-07,1.5e-07,27.450235385742815,2
1.0651001060128349e-07,5.481457265662524e-07,1.2816134777266935e-07,3e-07,22.791412131414297,2
1e-07,4.412391736646861e-07,1.504923467241948e-07,2.9797213885182894e-07,16.063056760976878,2
1e-07,6.21759236918897e-07,1.709107604787123e-07,1.7560668109743298e-07,21.748437877826362,2
1e-07,5.196726492816331e-07,1.2594947376408177e-07,1.5e-07,15.411154463219177,2
1.3800224318295578e-07,4.986002767356964e-07,1.1898020772884432e-07,2.645640766823043e-07,13.192415397692088,2
1.0651001060128349e-07,5.481457265662524e-07,1.2816134777266935e-07,3e-07,22.791412131414297,2
1.3800224318295578e-07,3.9049743653690906e-07,2.3580351163681828e-07,1.9427657490042985e-07,6.030637732380642,2
1.3464668387499633e-07,5.481457265662524e-07,1.2816134777266935e-07,3e-07,23.162495581175445,2
1.0651001060128349e-07,7e-07,1.1915557261738697e-07,3e-07,25.1835460881268,2
1e-07,5.481457265662524e-07,1.504923467241948e-07,2.9797213885182894e-07,18.44856613361102,2
1e-07,5.196726492816331e-07,1.2594947376408177e-07,2.0280083643530077e-07,15.411154463219177,2
1.1744094234749413e-07,5.712347221982748e-07,1.6824507918897088e-07,1.5e-07,11.322867428878133,2
1.98751970709219e-07,5.712347221982748e-07,1.709107604787123e-07,1.7560668109743298e-07,9.583336719313511,2
1e-07,5.481457265662524e-07,1.3677835274627053e-07,1.7231187807886205e-07,18.44856613361102,2
1e-07,5.481457265662524e-07,1.2816134777266935e-07,1.7560668109743298e-07,18.44856613361102,2
2.2873840334046865e-07,5.549575029276302e-07,1.2252814590098065e-07,2.0831888564565818e-07,10.28320182731159,2
1.3813516014775702e-07,6.7378672056511e-07,1.1363161545685111e-07,1.6227942269507057e-07,9.88919441771396,2
1.3813516014775702e-07,5.398039149801462e-07,1.2833995273988342e-07,1.6914350361132564e-07,7.4154529316265965,2
1.7107369701304582e-07,5.142029833507897e-07,1.709107604787123e-07,1.7560668109743298e-07,11.817567550394479,2
1.1744094234749413e-07,7e-07,1.1915557261738697e-07,3e-07,18.017745814827556,2
1.98751970709219e-07,5.712347221982748e-07,1.504923467241948e-07,2.9797213885182894e-07,9.583336719313511,2
1e-07,5.481457265662524e-07,1.2816134777266935e-07,3e-07,18.44856613361102,2
1.0651001060128349e-07,6.21759236918897e-07,1.1218562406508454e-07,2.645640766823043e-07,27.450235385742815,2
1.1744094234749413e-07,7e-07,1.1915557261738697e-07,1.720980424755647e-07,18.017745814827556,2
1.7581162819328197e-07,6.21759236918897e-07,1.709107604787123e-07,1.7560668109743298e-07,17.754997265876174,2
