Lambda,DC,w,height,S11,generation
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1e-07,0.27355655169606075,6.731020893739176e-07,1.616104745211109e-07,0.35317870458838707,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,5
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.6416029086119664e-07,0.3479246346783054,5
1e-07,0.1,6.620455214373138e-07,1.616104745211109e-07,0.3424186043259867,5
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,5
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,5
1.1250059785791629e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.3525011802932635,5
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
1e-07,0.27355655169606075,6.620455214373138e-07,1.616104745211109e-07,0.35364766285483124,6
